Data;Hora;Temperatura (C°);Umidade (%)
08/12/2022;22:53:26;27.40;69.00
08/12/2022;22:53:27;27.40;69.00
08/12/2022;22:53:28;27.40;69.00
08/12/2022;22:53:29;27.40;69.00
08/12/2022;22:53:30;27.40;69.00
08/12/2022;22:53:31;27.40;69.00
08/12/2022;22:53:32;27.40;69.00
08/12/2022;22:53:33;27.40;69.00
08/12/2022;22:53:34;27.50;70.00
08/12/2022;22:53:35;27.50;70.00
08/12/2022;22:53:36;27.50;70.00
08/12/2022;22:53:37;27.50;70.00
08/12/2022;22:53:38;27.50;70.00
08/12/2022;22:53:39;27.50;70.00
08/12/2022;22:53:40;27.50;71.00
08/12/2022;22:53:41;27.50;71.00
08/12/2022;22:53:42;27.50;71.00
08/12/2022;22:53:43;27.50;71.00
08/12/2022;22:53:44;27.50;71.00
08/12/2022;22:53:45;27.50;71.00
08/12/2022;22:53:46;27.50;71.00
08/12/2022;22:53:47;27.50;71.00
08/12/2022;22:53:48;27.50;71.00
08/12/2022;22:53:49;27.50;71.00
08/12/2022;22:53:50;27.50;71.00
08/12/2022;22:53:51;27.50;71.00
08/12/2022;22:53:52;27.50;71.00
08/12/2022;22:53:53;27.50;71.00
08/12/2022;22:53:54;27.50;70.00
08/12/2022;22:53:55;27.50;70.00
08/12/2022;22:53:56;27.50;70.00
08/12/2022;22:53:57;27.50;70.00
08/12/2022;22:53:58;27.50;70.00
08/12/2022;22:53:59;27.50;70.00
08/12/2022;22:54:00;27.50;70.00
08/12/2022;22:54:01;27.50;70.00
08/12/2022;22:54:02;27.50;69.00
08/12/2022;22:54:03;27.50;69.00
08/12/2022;22:54:04;27.50;69.00
08/12/2022;22:54:05;27.50;69.00
08/12/2022;22:54:06;27.50;69.00
08/12/2022;22:54:07;27.50;69.00
08/12/2022;22:54:08;27.50;69.00
08/12/2022;22:54:09;27.50;69.00
08/12/2022;22:54:10;27.50;69.00
08/12/2022;22:54:11;27.50;69.00
08/12/2022;22:54:12;27.60;69.00
08/12/2022;22:54:13;27.60;69.00
08/12/2022;22:54:14;27.60;69.00
08/12/2022;22:54:15;27.60;69.00
08/12/2022;22:54:16;27.60;69.00
08/12/2022;22:54:17;27.60;69.00
08/12/2022;22:54:18;27.60;69.00
08/12/2022;22:54:19;27.60;69.00
08/12/2022;22:54:20;27.60;69.00
08/12/2022;22:54:21;27.60;69.00
08/12/2022;22:54:22;27.60;69.00
08/12/2022;22:54:23;27.60;69.00
08/12/2022;22:54:24;27.60;69.00
08/12/2022;22:54:25;27.60;69.00
