Data;Hora;Temperatura(C°);Umidade(%)
21/12/2022;21:59:42;23,8;79
21/12/2022;22:00:12;23,8;79
21/12/2022;22:00:42;23,8;79
21/12/2022;22:01:12;23,9;79
21/12/2022;22:01:42;24;79
21/12/2022;22:02:12;24,1;79
21/12/2022;22:02:42;24,2;79
21/12/2022;22:03:13;24,3;78
21/12/2022;22:03:43;24,4;78
21/12/2022;22:04:13;24,5;77
21/12/2022;22:04:43;24,6;77
21/12/2022;22:05:13;24,7;76
21/12/2022;22:05:43;24,8;75
21/12/2022;22:06:13;24,9;75
21/12/2022;22:06:43;25;75
21/12/2022;22:07:13;25,1;74
21/12/2022;22:07:43;25,1;74
21/12/2022;22:08:13;25,2;74
21/12/2022;22:08:43;25,2;73
21/12/2022;22:09:14;25,3;73
21/12/2022;22:09:44;25,4;73
21/12/2022;22:10:14;25,4;72
21/12/2022;22:10:44;25,5;72
21/12/2022;22:11:14;25,5;72
21/12/2022;22:11:44;25,6;71
21/12/2022;22:12:14;25,6;71
21/12/2022;22:12:44;25,7;71
21/12/2022;22:13:14;25,7;70
21/12/2022;22:13:44;25,8;70
21/12/2022;22:14:14;25,8;70
21/12/2022;22:14:44;25,8;70
21/12/2022;22:15:15;25,9;70
21/12/2022;22:15:45;25,9;70
21/12/2022;22:16:15;25,9;69
21/12/2022;22:16:45;26;69
21/12/2022;22:17:15;26;69
21/12/2022;22:17:45;26;69
21/12/2022;22:18:15;26,1;69
21/12/2022;22:18:45;26,1;69
21/12/2022;22:19:15;26,1;69
21/12/2022;22:19:45;26,1;68
21/12/2022;22:20:15;26,2;68
21/12/2022;22:20:45;26,2;68
21/12/2022;22:21:15;26,2;68
21/12/2022;22:21:46;26,2;68
21/12/2022;22:22:16;26,3;68
21/12/2022;22:22:46;26,3;68
21/12/2022;22:23:16;26,3;68
21/12/2022;22:23:46;26,3;68
21/12/2022;22:24:16;26,3;68
21/12/2022;22:24:46;26,3;68
21/12/2022;22:25:16;26,4;67
21/12/2022;22:25:46;26,4;67
21/12/2022;22:26:16;26,4;67
21/12/2022;22:26:46;26,4;67
21/12/2022;22:27:16;26,5;67
21/12/2022;22:27:47;26,5;67
21/12/2022;22:28:17;26,5;67
21/12/2022;22:28:47;26,5;67
21/12/2022;22:29:17;26,5;67
21/12/2022;22:29:47;26,5;67
