Data;Hora;Temperatura;Umidade
21/12/2022;19:32:18;23.4;81
21/12/2022;19:32:48;23.4;81
21/12/2022;19:33:18;23.4;81
21/12/2022;19:33:48;23.4;81
21/12/2022;19:34:18;23.4;81
21/12/2022;19:34:49;23.4;81
21/12/2022;19:35:19;23.4;81
21/12/2022;19:35:49;23.4;81
21/12/2022;19:36:19;23.4;81
21/12/2022;19:36:49;23.4;81
21/12/2022;19:37:19;23.4;81
21/12/2022;19:37:49;23.4;81
21/12/2022;19:38:19;23.4;81
21/12/2022;19:38:49;23.4;81
21/12/2022;19:39:19;23.4;81
21/12/2022;19:39:49;23.4;81
21/12/2022;19:40:19;23.4;81
21/12/2022;19:40:49;23.3;81
21/12/2022;19:41:20;23.3;81
21/12/2022;19:41:50;23.3;81
21/12/2022;19:42:20;23.3;81
21/12/2022;19:42:50;23.3;81
21/12/2022;19:43:20;23.3;82
21/12/2022;19:43:50;23.3;82
21/12/2022;19:44:20;23.3;82
21/12/2022;19:44:50;23.3;82
21/12/2022;19:45:20;23.3;82
21/12/2022;19:45:50;23.4;82
21/12/2022;19:46:20;23.4;81
21/12/2022;19:46:50;23.4;81
21/12/2022;19:47:20;23.3;81
21/12/2022;19:47:51;23.3;81
21/12/2022;19:48:21;23.3;81
21/12/2022;19:48:51;23.3;81
21/12/2022;19:49:21;23.3;81
21/12/2022;19:49:51;23.3;81
21/12/2022;19:50:21;23.3;81
21/12/2022;19:50:51;23.3;81
21/12/2022;19:51:21;23.3;81
21/12/2022;19:51:51;23.3;81
21/12/2022;19:52:21;23.3;81
21/12/2022;19:52:51;23.3;81
21/12/2022;19:53:21;23.3;81
21/12/2022;19:53:52;23.3;81
21/12/2022;19:54:22;23.4;81
21/12/2022;19:54:52;23.4;81
21/12/2022;19:55:22;23.4;81
21/12/2022;19:55:52;23.4;81
21/12/2022;19:56:22;23.4;81
21/12/2022;19:56:52;23.4;81
21/12/2022;19:57:22;23.5;81
21/12/2022;19:57:52;23.5;81
21/12/2022;19:58:22;23.5;81
21/12/2022;19:58:52;23.5;81
21/12/2022;19:59:22;23.5;81
21/12/2022;19:59:52;23.5;81
21/12/2022;20:00:23;23.5;81
21/12/2022;20:00:53;23.5;81
21/12/2022;20:01:23;23.5;81
21/12/2022;20:01:53;23.4;81
21/12/2022;20:02:23;23.4;81
